candidate_id,degree,gpa,skills,experience_years,certification,projects,soft_skill,location
42,Information Technology,2.68,React,2,None,1,Teamwork,Mombasa
43,Software Engineering,2.01,Machine Learning,7,AWS,2,Teamwork,Kisumu
44,Data Science,2.23,SQL,5,None,5,Communication,Remote
45,Software Engineering,3.88,Machine Learning,7,Google Cloud,5,Leadership,Nairobi
46,Data Science,2.49,JavaScript,4,None,4,Problem Solving,Kisumu
47,Information Technology,2.95,Machine Learning,7,AWS,6,Leadership,Nairobi
48,Data Science,2.34,Machine Learning,1,Google Cloud,1,Communication,Remote
49,Software Engineering,3.54,Machine Learning,1,None,1,Leadership,Mombasa
50,Computer Science,3.57,Machine Learning,4,AWS,3,Teamwork,Nairobi
51,Computer Science,3.25,JavaScript,7,None,2,Problem Solving,Nairobi
52,Computer Science,2.42,C++,7,Google Cloud,6,Problem Solving,Mombasa
53,Data Science,2.78,SQL,2,None,5,Problem Solving,Mombasa
54,Software Engineering,3.0,Python,0,Google Cloud,2,Communication,Kisumu
55,Software Engineering,2.12,JavaScript,4,None,4,Teamwork,Mombasa
56,Computer Science,2.44,Java,3,None,3,Problem Solving,Kisumu
57,Software Engineering,2.35,C++,0,Google Cloud,0,Communication,Mombasa
58,Information Technology,2.21,React,4,Google Cloud,4,Problem Solving,Nairobi
59,Information Technology,3.11,JavaScript,0,AWS,6,Leadership,Mombasa
60,Software Engineering,2.48,Machine Learning,5,Cisco,2,Teamwork,Mombasa
61,Software Engineering,2.83,SQL,1,Cisco,5,Teamwork,Kisumu
62,Data Science,3.39,Python,4,None,4,Problem Solving,Mombasa
63,Information Technology,2.69,JavaScript,5,Cisco,5,Communication,Remote
64,Data Science,2.62,Flask,7,Cisco,5,Problem Solving,Nairobi
65,Information Technology,2.49,JavaScript,2,AWS,5,Communication,Nairobi
66,Information Technology,2.55,C++,6,None,2,Problem Solving,Remote
67,Computer Science,2.75,Python,2,None,1,Problem Solving,Mombasa
68,Data Science,2.94,Python,5,None,1,Communication,Remote
69,Data Science,3.64,Flask,4,None,1,Communication,Mombasa
70,Data Science,3.11,Machine Learning,4,Google Cloud,5,Communication,Nairobi
71,Software Engineering,3.47,Java,0,AWS,1,Communication,Nairobi
72,Information Technology,2.82,JavaScript,4,Google Cloud,5,Communication,Nairobi
73,Data Science,2.42,SQL,1,AWS,3,Communication,Kisumu
74,Data Science,2.06,Java,7,Cisco,5,Problem Solving,Nairobi
75,Data Science,3.79,JavaScript,3,Cisco,1,Teamwork,Mombasa
76,Computer Science,3.31,Flask,2,Google Cloud,3,Teamwork,Mombasa
77,Computer Science,2.67,Python,0,None,2,Leadership,Mombasa
78,Software Engineering,3.32,Flask,2,Cisco,4,Leadership,Mombasa
79,Software Engineering,3.82,Machine Learning,2,Google Cloud,5,Leadership,Mombasa
80,Information Technology,2.18,Flask,5,None,6,Communication,Nairobi
81,Computer Science,3.74,Java,5,None,2,Teamwork,Mombasa
82,Computer Science,2.45,JavaScript,3,None,3,Teamwork,Nairobi
83,Computer Science,2.4,React,7,AWS,1,Teamwork,Nairobi
84,Computer Science,3.43,Machine Learning,4,Cisco,6,Leadership,Mombasa
85,Information Technology,2.12,Flask,6,Google Cloud,6,Problem Solving,Remote
86,Software Engineering,3.81,SQL,2,AWS,5,Leadership,Nairobi
87,Computer Science,3.79,SQL,1,Google Cloud,0,Problem Solving,Nairobi
88,Data Science,3.87,Java,1,Google Cloud,4,Teamwork,Remote
89,Data Science,2.55,Flask,2,Cisco,5,Problem Solving,Kisumu
90,Software Engineering,3.17,Python,2,None,4,Leadership,Nairobi
91,Information Technology,3.55,Flask,2,Google Cloud,2,Teamwork,Kisumu
92,Data Science,2.2,React,6,Google Cloud,4,Problem Solving,Mombasa
93,Computer Science,3.66,SQL,2,AWS,2,Problem Solving,Kisumu
94,Information Technology,3.31,Java,5,AWS,4,Problem Solving,Kisumu
95,Information Technology,3.79,Java,7,None,5,Leadership,Mombasa
96,Software Engineering,3.08,JavaScript,3,None,2,Leadership,Nairobi
97,Data Science,2.71,Flask,0,Google Cloud,4,Teamwork,Remote
98,Data Science,3.98,Machine Learning,6,AWS,3,Teamwork,Mombasa
99,Data Science,3.58,Python,0,Cisco,1,Problem Solving,Kisumu
100,Software Engineering,2.71,SQL,5,None,5,Communication,Mombasa
101,Information Technology,3.24,SQL,4,Google Cloud,6,Communication,Nairobi
102,Software Engineering,2.42,React,3,Cisco,4,Communication,Mombasa
103,Data Science,2.53,Java,7,Google Cloud,6,Leadership,Nairobi
104,Information Technology,3.07,Java,2,Cisco,2,Problem Solving,Nairobi
105,Information Technology,2.65,C++,6,None,0,Leadership,Nairobi
106,Computer Science,3.37,Java,2,Google Cloud,4,Problem Solving,Kisumu
107,Computer Science,3.04,C++,1,Cisco,5,Problem Solving,Remote
108,Computer Science,3.02,Java,2,None,4,Communication,Mombasa
109,Software Engineering,2.27,C++,2,AWS,6,Problem Solving,Remote
110,Software Engineering,3.01,React,7,None,6,Problem Solving,Remote
111,Data Science,3.95,Java,6,Cisco,6,Problem Solving,Kisumu
112,Software Engineering,3.84,Machine Learning,0,None,3,Leadership,Kisumu
113,Software Engineering,3.81,C++,7,Google Cloud,6,Communication,Remote
114,Data Science,2.72,Java,5,Cisco,5,Teamwork,Nairobi
115,Computer Science,3.55,Flask,6,Google Cloud,0,Teamwork,Remote
116,Computer Science,2.34,Flask,4,Google Cloud,4,Leadership,Kisumu
117,Data Science,3.94,C++,3,AWS,4,Leadership,Nairobi
118,Computer Science,2.49,C++,0,Google Cloud,5,Teamwork,Remote
119,Computer Science,3.56,JavaScript,5,AWS,1,Problem Solving,Nairobi
120,Data Science,3.28,Machine Learning,4,AWS,4,Teamwork,Remote
121,Data Science,3.67,SQL,5,None,5,Problem Solving,Mombasa
122,Software Engineering,2.4,Java,3,Google Cloud,4,Communication,Remote
123,Software Engineering,2.44,Java,1,AWS,0,Communication,Remote
124,Software Engineering,2.12,C++,1,Cisco,1,Problem Solving,Kisumu
125,Information Technology,2.28,SQL,4,Google Cloud,6,Problem Solving,Mombasa
126,Information Technology,3.43,JavaScript,6,Google Cloud,6,Leadership,Kisumu
127,Software Engineering,3.42,Java,1,AWS,2,Teamwork,Mombasa
128,Computer Science,2.54,JavaScript,1,AWS,5,Problem Solving,Remote
129,Computer Science,2.6,Python,6,Google Cloud,3,Communication,Mombasa
130,Computer Science,3.16,SQL,3,AWS,2,Leadership,Remote
131,Software Engineering,2.1,SQL,1,AWS,3,Communication,Mombasa
132,Data Science,2.89,React,3,None,0,Leadership,Remote
133,Information Technology,2.17,C++,3,Cisco,2,Communication,Remote
134,Data Science,3.26,React,7,Cisco,2,Problem Solving,Mombasa
135,Computer Science,3.93,SQL,2,AWS,3,Communication,Mombasa
136,Computer Science,3.68,JavaScript,5,Google Cloud,5,Leadership,Remote
137,Data Science,2.62,Java,1,None,6,Communication,Kisumu
138,Computer Science,2.25,Java,7,None,1,Communication,Kisumu
139,Software Engineering,2.64,JavaScript,7,AWS,6,Leadership,Remote
140,Data Science,2.63,C++,6,Google Cloud,4,Communication,Remote
141,Data Science,3.91,React,0,AWS,1,Problem Solving,Remote
142,Computer Science,2.14,React,6,Google Cloud,3,Leadership,Kisumu
143,Information Technology,2.66,React,3,Google Cloud,3,Teamwork,Nairobi
144,Software Engineering,3.88,React,6,Cisco,6,Leadership,Kisumu
145,Computer Science,3.85,Flask,1,Cisco,1,Problem Solving,Nairobi
146,Information Technology,3.1,Flask,7,Cisco,5,Communication,Kisumu
147,Information Technology,2.94,C++,4,Google Cloud,1,Teamwork,Nairobi
148,Data Science,3.27,C++,7,Cisco,1,Communication,Nairobi
149,Computer Science,3.86,Flask,7,Google Cloud,1,Leadership,Nairobi
150,Information Technology,2.97,Python,1,Cisco,5,Problem Solving,Nairobi
151,Computer Science,3.85,Flask,1,AWS,4,Leadership,Remote
152,Information Technology,2.78,JavaScript,1,None,1,Communication,Mombasa
153,Software Engineering,3.23,Machine Learning,4,AWS,5,Communication,Nairobi
154,Information Technology,3.86,SQL,3,Cisco,0,Communication,Remote
155,Data Science,2.4,SQL,4,None,2,Problem Solving,Mombasa
156,Software Engineering,3.13,Machine Learning,4,Google Cloud,2,Leadership,Kisumu
157,Computer Science,2.65,Python,3,None,6,Teamwork,Remote
158,Data Science,2.08,Python,5,Cisco,5,Communication,Nairobi
159,Information Technology,2.17,C++,0,None,6,Problem Solving,Remote
160,Software Engineering,3.42,C++,5,AWS,0,Communication,Remote
161,Computer Science,2.15,C++,5,AWS,3,Communication,Nairobi
162,Computer Science,2.76,Machine Learning,3,Cisco,5,Teamwork,Remote
163,Computer Science,2.25,Machine Learning,0,None,1,Problem Solving,Kisumu
164,Data Science,2.8,JavaScript,5,Google Cloud,2,Teamwork,Nairobi
165,Computer Science,2.83,Java,0,Cisco,5,Leadership,Kisumu
166,Information Technology,2.83,Machine Learning,5,Cisco,1,Teamwork,Kisumu
167,Computer Science,2.53,JavaScript,5,Cisco,0,Teamwork,Nairobi
168,Data Science,3.96,React,0,Cisco,3,Communication,Nairobi
169,Data Science,2.09,Python,7,Google Cloud,6,Teamwork,Kisumu
170,Information Technology,3.12,SQL,2,Google Cloud,4,Problem Solving,Remote
171,Computer Science,2.49,Java,1,None,4,Leadership,Remote
172,Software Engineering,3.6,JavaScript,0,Cisco,4,Teamwork,Kisumu
173,Data Science,2.9,Python,5,Google Cloud,2,Problem Solving,Mombasa
174,Data Science,2.09,SQL,1,AWS,3,Problem Solving,Remote
175,Data Science,2.93,SQL,6,None,6,Communication,Remote
176,Computer Science,3.29,SQL,1,Cisco,5,Teamwork,Mombasa
177,Software Engineering,2.53,React,4,Google Cloud,6,Leadership,Remote
178,Software Engineering,3.73,C++,4,Cisco,2,Leadership,Remote
179,Computer Science,2.67,Flask,7,None,4,Leadership,Kisumu
180,Computer Science,3.33,Python,5,Google Cloud,0,Leadership,Nairobi
181,Computer Science,3.9,SQL,5,AWS,0,Leadership,Remote
182,Information Technology,2.28,React,5,None,1,Leadership,Mombasa
183,Computer Science,3.7,Flask,1,Google Cloud,1,Leadership,Nairobi
184,Software Engineering,3.26,JavaScript,5,None,5,Communication,Nairobi
185,Information Technology,2.89,JavaScript,6,Google Cloud,2,Communication,Nairobi
186,Information Technology,3.6,Python,0,Cisco,6,Teamwork,Remote
187,Data Science,2.3,Java,5,Cisco,0,Communication,Mombasa
188,Data Science,3.22,Python,2,Google Cloud,3,Leadership,Nairobi
189,Information Technology,2.13,Python,5,Google Cloud,6,Problem Solving,Kisumu
190,Data Science,3.44,Flask,1,Google Cloud,6,Teamwork,Remote
191,Information Technology,2.1,JavaScript,6,AWS,6,Problem Solving,Remote
192,Information Technology,2.2,SQL,0,Cisco,3,Leadership,Kisumu
193,Computer Science,3.66,JavaScript,6,Cisco,3,Teamwork,Mombasa
194,Information Technology,2.22,C++,5,None,6,Teamwork,Kisumu
195,Computer Science,2.28,Machine Learning,5,None,0,Communication,Kisumu
196,Data Science,3.92,Machine Learning,5,Google Cloud,0,Communication,Nairobi
197,Computer Science,2.19,C++,2,None,0,Problem Solving,Nairobi
198,Computer Science,2.71,Machine Learning,0,AWS,6,Leadership,Mombasa
199,Data Science,3.04,Machine Learning,3,Cisco,3,Communication,Kisumu
200,Computer Science,2.41,JavaScript,3,AWS,3,Teamwork,Remote
201,Data Science,2.13,React,1,Cisco,4,Teamwork,Mombasa
202,Computer Science,3.57,Machine Learning,5,AWS,2,Leadership,Nairobi
203,Software Engineering,2.61,JavaScript,0,None,4,Communication,Remote
204,Computer Science,2.04,Flask,6,Cisco,5,Communication,Remote
205,Information Technology,3.41,Machine Learning,7,Cisco,4,Communication,Remote
206,Data Science,3.25,Flask,6,AWS,6,Teamwork,Kisumu
207,Data Science,3.82,Flask,6,Cisco,5,Leadership,Remote
208,Information Technology,2.38,C++,1,Google Cloud,1,Communication,Mombasa
209,Software Engineering,3.51,C++,0,None,5,Leadership,Remote
210,Data Science,2.13,C++,6,None,1,Problem Solving,Remote
211,Data Science,3.75,C++,2,Cisco,6,Leadership,Kisumu
212,Computer Science,3.23,JavaScript,4,Google Cloud,4,Communication,Kisumu
213,Computer Science,2.99,SQL,1,Google Cloud,2,Leadership,Kisumu
214,Software Engineering,3.43,SQL,3,Cisco,4,Teamwork,Nairobi
215,Data Science,3.48,Python,7,Google Cloud,0,Communication,Remote
216,Computer Science,3.05,C++,3,AWS,6,Teamwork,Kisumu
217,Computer Science,3.9,JavaScript,6,Google Cloud,6,Problem Solving,Kisumu
218,Information Technology,3.12,SQL,2,Cisco,0,Problem Solving,Remote
219,Computer Science,3.77,Java,1,Cisco,0,Problem Solving,Kisumu
220,Data Science,2.36,Python,3,None,0,Teamwork,Nairobi
221,Software Engineering,3.76,JavaScript,2,Google Cloud,5,Communication,Remote
222,Data Science,3.85,Flask,2,Cisco,0,Leadership,Kisumu
223,Computer Science,2.77,Flask,6,Google Cloud,3,Teamwork,Nairobi
224,Computer Science,2.56,C++,6,Cisco,4,Leadership,Remote
225,Information Technology,2.3,C++,4,Google Cloud,4,Teamwork,Remote
226,Information Technology,3.73,Machine Learning,4,Google Cloud,4,Communication,Remote
227,Software Engineering,3.71,Machine Learning,5,Google Cloud,0,Problem Solving,Kisumu
228,Data Science,3.87,Flask,5,None,6,Communication,Nairobi
229,Data Science,3.67,Java,7,Cisco,1,Communication,Mombasa
230,Information Technology,3.56,React,1,AWS,0,Problem Solving,Remote
231,Data Science,2.56,JavaScript,5,Cisco,1,Communication,Kisumu
232,Information Technology,2.16,React,0,Cisco,2,Problem Solving,Kisumu
233,Computer Science,2.91,React,0,None,1,Problem Solving,Kisumu
234,Computer Science,2.49,React,1,Google Cloud,2,Communication,Remote
235,Data Science,2.46,React,0,AWS,1,Teamwork,Nairobi
236,Data Science,3.5,Machine Learning,7,None,5,Teamwork,Remote
237,Software Engineering,3.95,Machine Learning,0,Cisco,6,Leadership,Nairobi
238,Information Technology,2.76,Machine Learning,7,Google Cloud,6,Communication,Mombasa
239,Data Science,2.15,SQL,2,Google Cloud,5,Teamwork,Remote
240,Software Engineering,2.25,C++,3,AWS,3,Leadership,Mombasa
241,Data Science,3.51,Python,7,Google Cloud,1,Communication,Kisumu
242,Information Technology,3.44,C++,0,Google Cloud,2,Communication,Mombasa
243,Information Technology,3.12,React,4,Google Cloud,2,Problem Solving,Kisumu
244,Data Science,3.62,Java,2,AWS,0,Teamwork,Nairobi
245,Data Science,3.35,Flask,0,AWS,1,Leadership,Remote
246,Software Engineering,2.17,JavaScript,0,Cisco,2,Leadership,Nairobi
247,Computer Science,2.2,Java,5,Cisco,0,Communication,Mombasa
248,Software Engineering,3.6,SQL,1,Cisco,5,Communication,Kisumu
249,Software Engineering,3.55,C++,0,Cisco,0,Problem Solving,Remote
250,Information Technology,3.92,Machine Learning,6,None,1,Teamwork,Kisumu
251,Data Science,2.86,JavaScript,0,Google Cloud,4,Leadership,Nairobi
252,Data Science,2.1,JavaScript,1,Google Cloud,6,Communication,Kisumu
253,Data Science,3.1,Java,6,Cisco,2,Problem Solving,Nairobi
254,Information Technology,3.03,SQL,5,AWS,1,Teamwork,Mombasa
255,Information Technology,2.41,React,2,AWS,0,Leadership,Kisumu
256,Computer Science,3.43,Java,1,AWS,3,Problem Solving,Mombasa
257,Data Science,2.21,C++,1,None,1,Problem Solving,Nairobi
258,Data Science,3.25,React,6,AWS,5,Leadership,Mombasa
259,Software Engineering,2.86,C++,2,None,0,Communication,Nairobi
260,Software Engineering,2.03,C++,0,AWS,0,Communication,Remote
261,Computer Science,3.43,Machine Learning,3,Google Cloud,1,Teamwork,Nairobi
262,Data Science,2.78,Machine Learning,5,AWS,5,Problem Solving,Mombasa
263,Computer Science,2.5,Flask,5,None,4,Communication,Mombasa
264,Software Engineering,2.03,Flask,4,AWS,3,Teamwork,Remote
265,Data Science,3.87,JavaScript,5,Google Cloud,1,Problem Solving,Mombasa
266,Software Engineering,3.44,Flask,4,AWS,1,Teamwork,Mombasa
267,Data Science,2.05,React,2,Cisco,1,Problem Solving,Nairobi
268,Software Engineering,3.7,C++,3,Cisco,2,Teamwork,Remote
269,Software Engineering,3.17,Machine Learning,7,AWS,2,Teamwork,Mombasa
270,Software Engineering,3.48,Java,2,None,4,Teamwork,Mombasa
271,Data Science,3.98,JavaScript,2,None,6,Communication,Mombasa
272,Computer Science,2.49,JavaScript,5,Google Cloud,4,Teamwork,Remote
273,Data Science,2.96,Java,1,Google Cloud,4,Leadership,Kisumu
274,Information Technology,3.9,Java,3,None,0,Teamwork,Nairobi
275,Information Technology,3.34,SQL,3,AWS,4,Leadership,Kisumu
276,Data Science,3.02,JavaScript,0,Cisco,0,Leadership,Mombasa
277,Computer Science,3.05,Java,4,Google Cloud,6,Teamwork,Nairobi
278,Computer Science,3.05,JavaScript,4,Google Cloud,0,Leadership,Remote
279,Data Science,3.12,SQL,0,AWS,4,Teamwork,Nairobi
280,Data Science,3.12,C++,2,Cisco,1,Teamwork,Nairobi
281,Computer Science,2.96,JavaScript,3,AWS,0,Leadership,Mombasa
282,Computer Science,2.37,React,0,AWS,1,Communication,Nairobi
283,Information Technology,3.15,Machine Learning,0,AWS,2,Teamwork,Nairobi
284,Data Science,2.84,Machine Learning,3,AWS,3,Teamwork,Remote
285,Data Science,2.3,React,4,AWS,5,Communication,Mombasa
286,Information Technology,3.22,Machine Learning,1,None,2,Communication,Kisumu
287,Data Science,3.91,SQL,3,None,6,Problem Solving,Remote
288,Computer Science,3.81,Java,0,Cisco,6,Problem Solving,Remote
289,Computer Science,2.66,Python,4,AWS,0,Leadership,Nairobi
290,Information Technology,3.72,Java,3,None,2,Communication,Nairobi
291,Data Science,2.44,Java,0,Google Cloud,6,Leadership,Remote
292,Information Technology,2.74,C++,1,AWS,4,Leadership,Kisumu
293,Computer Science,2.15,Python,5,None,6,Communication,Mombasa
294,Software Engineering,3.2,Machine Learning,2,Cisco,5,Leadership,Remote
295,Software Engineering,3.88,C++,2,AWS,1,Leadership,Kisumu
296,Information Technology,2.94,C++,0,AWS,4,Communication,Mombasa
297,Data Science,3.0,Java,7,None,2,Leadership,Kisumu
298,Data Science,3.38,Python,1,AWS,0,Problem Solving,Kisumu
299,Software Engineering,2.3,Machine Learning,4,Cisco,1,Problem Solving,Remote
300,Data Science,2.21,Machine Learning,4,None,6,Communication,Nairobi
301,Data Science,2.57,Flask,7,None,6,Communication,Nairobi
302,Data Science,3.29,Python,0,AWS,2,Problem Solving,Mombasa
303,Data Science,2.3,C++,5,Google Cloud,5,Problem Solving,Mombasa
304,Software Engineering,2.62,C++,5,AWS,4,Problem Solving,Kisumu
305,Software Engineering,3.9,C++,7,Cisco,6,Teamwork,Mombasa
306,Computer Science,3.09,JavaScript,5,AWS,5,Problem Solving,Remote
307,Software Engineering,3.45,Python,6,Google Cloud,4,Teamwork,Remote
308,Computer Science,2.77,Machine Learning,6,Google Cloud,6,Problem Solving,Kisumu
309,Computer Science,3.2,Python,1,None,1,Communication,Kisumu
310,Software Engineering,3.34,SQL,5,Cisco,1,Leadership,Mombasa
311,Software Engineering,2.33,SQL,1,AWS,5,Teamwork,Mombasa
312,Data Science,3.13,Machine Learning,4,Cisco,6,Leadership,Remote
313,Software Engineering,3.29,Java,6,Cisco,1,Leadership,Remote
314,Computer Science,2.22,Java,5,None,6,Problem Solving,Nairobi
315,Data Science,2.62,SQL,6,Cisco,4,Teamwork,Mombasa
316,Software Engineering,2.54,Python,6,Cisco,0,Leadership,Remote
317,Information Technology,2.24,Machine Learning,1,None,1,Communication,Kisumu
318,Information Technology,3.59,React,6,Google Cloud,1,Communication,Mombasa
319,Data Science,3.34,JavaScript,6,AWS,1,Communication,Kisumu
320,Information Technology,2.08,C++,6,AWS,0,Leadership,Nairobi
321,Software Engineering,3.26,C++,7,None,6,Communication,Remote
322,Computer Science,2.86,Java,4,None,3,Communication,Nairobi
323,Software Engineering,2.58,JavaScript,5,Cisco,1,Communication,Kisumu
324,Information Technology,2.22,Python,7,Google Cloud,5,Teamwork,Mombasa
325,Information Technology,2.91,Java,6,Cisco,1,Teamwork,Nairobi
326,Software Engineering,3.54,C++,0,Cisco,6,Leadership,Remote
327,Computer Science,3.55,SQL,7,Cisco,5,Leadership,Nairobi
328,Information Technology,2.46,Python,2,Google Cloud,1,Communication,Nairobi
329,Software Engineering,2.75,Flask,0,None,6,Teamwork,Remote
330,Computer Science,3.79,Machine Learning,3,None,2,Communication,Mombasa
331,Software Engineering,2.06,JavaScript,0,AWS,3,Leadership,Mombasa
332,Software Engineering,2.86,SQL,3,None,4,Problem Solving,Nairobi
333,Data Science,3.7,C++,0,AWS,0,Teamwork,Nairobi
334,Software Engineering,3.3,Flask,2,Google Cloud,2,Leadership,Kisumu
335,Computer Science,2.84,React,7,Google Cloud,5,Problem Solving,Kisumu
336,Computer Science,3.7,JavaScript,5,Cisco,3,Leadership,Kisumu
337,Information Technology,2.77,JavaScript,2,AWS,2,Leadership,Mombasa
338,Data Science,2.25,SQL,6,Cisco,0,Teamwork,Mombasa
339,Data Science,2.58,Flask,5,Google Cloud,6,Leadership,Nairobi
340,Software Engineering,2.94,Flask,3,None,6,Leadership,Remote
341,Information Technology,3.12,JavaScript,0,Cisco,1,Communication,Remote
342,Information Technology,3.74,JavaScript,7,None,3,Problem Solving,Mombasa
343,Information Technology,3.73,Java,4,AWS,0,Problem Solving,Remote
344,Data Science,2.03,Flask,7,AWS,6,Teamwork,Mombasa
345,Information Technology,3.03,Flask,1,None,1,Leadership,Nairobi
346,Data Science,2.02,Python,5,None,4,Communication,Nairobi
347,Data Science,2.48,React,7,AWS,0,Leadership,Kisumu
348,Information Technology,3.82,Machine Learning,0,Cisco,4,Communication,Mombasa
349,Computer Science,2.77,C++,7,Google Cloud,1,Communication,Remote
350,Data Science,3.3,C++,5,AWS,3,Teamwork,Mombasa
351,Software Engineering,2.08,Python,0,Google Cloud,2,Communication,Remote
352,Software Engineering,2.13,C++,7,Google Cloud,4,Teamwork,Mombasa
353,Computer Science,2.76,React,5,Google Cloud,4,Communication,Nairobi
354,Software Engineering,2.49,Python,7,None,5,Problem Solving,Mombasa
355,Software Engineering,2.83,Java,4,Cisco,4,Leadership,Mombasa
356,Software Engineering,2.05,Flask,3,Cisco,4,Leadership,Remote
357,Information Technology,2.2,Machine Learning,0,None,1,Problem Solving,Remote
358,Information Technology,3.35,Flask,3,None,4,Problem Solving,Remote
359,Information Technology,3.96,Machine Learning,3,None,6,Problem Solving,Kisumu
360,Information Technology,3.41,React,4,Google Cloud,5,Communication,Nairobi
361,Software Engineering,3.05,JavaScript,4,AWS,0,Leadership,Kisumu
362,Computer Science,3.82,Python,2,AWS,6,Leadership,Kisumu
363,Computer Science,2.08,JavaScript,1,None,3,Leadership,Kisumu
364,Data Science,3.48,Machine Learning,6,AWS,5,Teamwork,Mombasa
365,Data Science,2.86,C++,7,Cisco,1,Leadership,Kisumu
366,Data Science,3.02,SQL,1,Google Cloud,1,Leadership,Kisumu
367,Computer Science,3.51,JavaScript,2,Google Cloud,1,Leadership,Mombasa
368,Software Engineering,3.06,Machine Learning,5,AWS,2,Problem Solving,Kisumu
369,Data Science,2.81,Machine Learning,0,Google Cloud,6,Teamwork,Kisumu
370,Software Engineering,3.11,Machine Learning,3,None,4,Teamwork,Nairobi
371,Computer Science,3.55,React,1,None,1,Teamwork,Nairobi
372,Data Science,3.67,Java,3,Google Cloud,3,Teamwork,Mombasa
373,Computer Science,2.98,React,1,AWS,1,Communication,Remote
374,Software Engineering,2.76,SQL,2,Cisco,4,Teamwork,Kisumu
375,Data Science,2.51,Python,7,Google Cloud,3,Problem Solving,Remote
376,Information Technology,3.41,SQL,0,Google Cloud,2,Problem Solving,Kisumu
377,Information Technology,3.63,Flask,2,Google Cloud,3,Teamwork,Kisumu
378,Data Science,3.7,Machine Learning,0,Google Cloud,0,Communication,Nairobi
379,Computer Science,3.48,C++,0,Cisco,5,Problem Solving,Kisumu
380,Computer Science,3.58,C++,7,Google Cloud,4,Teamwork,Remote
381,Information Technology,3.39,SQL,5,None,5,Teamwork,Kisumu
382,Software Engineering,2.3,Python,0,None,0,Communication,Kisumu
383,Software Engineering,2.67,Machine Learning,7,Cisco,1,Leadership,Kisumu
384,Information Technology,3.66,C++,5,AWS,4,Teamwork,Mombasa
385,Data Science,2.58,Flask,0,AWS,5,Communication,Mombasa
386,Information Technology,3.43,JavaScript,0,AWS,6,Leadership,Kisumu
387,Information Technology,2.91,Machine Learning,2,Google Cloud,6,Leadership,Kisumu
388,Data Science,2.42,React,5,None,6,Communication,Mombasa
389,Data Science,2.21,React,0,Google Cloud,3,Problem Solving,Remote
390,Information Technology,3.29,JavaScript,3,AWS,4,Leadership,Mombasa
391,Computer Science,2.78,Java,7,Google Cloud,3,Communication,Remote
